==============================================================================
==============================================================================
Sun. May. 11 2014                  LANDSAT 5                       Time: 13:15
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101405103993_00002                          Path / Row - 121 / 34
Reference Image: L51HAJ1092317010100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1210344712   36.85012    119.66433    -0.13      0.23     0.27     1 
1210344729   36.85304    117.65431     0.05     -0.27     0.28     1 
1210344730   36.85285    117.68897    -0.08     -0.20     0.22     1 
1210344743   36.84938    118.13950     0.11     -0.03     0.11     1 
1210344744   36.84904    118.17416     0.03      0.13     0.13     1 
1210344767   36.83850    118.97098     0.23     -0.16     0.28     1 
1210344787   36.82500    119.66345     0.08     -0.10     0.13     1 
1210344805   36.82770    117.68874    -0.18     -0.04     0.19     1 
1210344817   36.82456    118.10449     0.26     -0.16     0.31     1 
1210344843   36.81279    119.00496     0.00     -0.06     0.06     1 
1210344859   36.80216    119.55878     0.13      0.06     0.14     1 
1210344861   36.80065    119.62798     0.21     -0.01     0.21     1 
1210344862   36.79988    119.66258     0.13     -0.15     0.20     1 
1210344890   36.80004    118.03486    -0.20     -0.23     0.30     1 
1210344892   36.79942    118.10413    -0.20     -0.18     0.27     1 
1210344893   36.79909    118.13876    -0.29     -0.15     0.33     1 
1210344899   36.79692    118.34653     0.07      0.01     0.07     1 
1210344933   36.77777    119.52335     0.16     -0.04     0.17     1 
