X, Y
649937.000000,4223427.000000
649967.000000,4223427.000000
649997.000000,4223427.000000
650027.000000,4223427.000000
650057.000000,4223427.000000
650087.000000,4223427.000000
650117.000000,4223427.000000
650147.000000,4223427.000000
650177.000000,4223427.000000
650207.000000,4223427.000000
650237.000000,4223427.000000
650267.000000,4223427.000000
650297.000000,4223427.000000
650327.000000,4223427.000000
650357.000000,4223427.000000
650387.000000,4223427.000000
650417.000000,4223427.000000
650447.000000,4223427.000000
650477.000000,4223427.000000
650507.000000,4223427.000000
650537.000000,4223427.000000
650567.000000,4223427.000000
650597.000000,4223427.000000
650627.000000,4223427.000000
650657.000000,4223427.000000
650687.000000,4223427.000000
650717.000000,4223427.000000
650747.000000,4223427.000000
650777.000000,4223427.000000
650807.000000,4223427.000000
650837.000000,4223427.000000
650867.000000,4223427.000000
650897.000000,4223427.000000
650927.000000,4223397.000000
650957.000000,4223397.000000
650987.000000,4223367.000000
651017.000000,4223367.000000
651047.000000,4223367.000000
651077.000000,4223337.000000
651107.000000,4223337.000000
651107.000000,4223307.000000
651137.000000,4223307.000000
651167.000000,4223277.000000
651197.000000,4223277.000000
651227.000000,4223277.000000
651257.000000,4223277.000000
651287.000000,4223277.000000
651317.000000,4223277.000000
651347.000000,4223247.000000
651377.000000,4223247.000000
651377.000000,4223217.000000
651407.000000,4223217.000000
651407.000000,4223187.000000
651437.000000,4223187.000000
651437.000000,4223157.000000
651467.000000,4223157.000000
651467.000000,4223127.000000
651497.000000,4223127.000000
651497.000000,4223097.000000
651527.000000,4223097.000000
651527.000000,4223067.000000
651557.000000,4223067.000000
651557.000000,4223037.000000
651587.000000,4223037.000000
651587.000000,4223007.000000
651617.000000,4223007.000000
651617.000000,4222977.000000
651647.000000,4222977.000000
651647.000000,4222947.000000
651677.000000,4222947.000000
651677.000000,4222917.000000
651707.000000,4222917.000000
651737.000000,4222887.000000
651767.000000,4222887.000000
651797.000000,4222887.000000
651827.000000,4222887.000000
651857.000000,4222887.000000
651887.000000,4222887.000000
651917.000000,4222887.000000
651947.000000,4222887.000000
651977.000000,4222887.000000
652007.000000,4222887.000000
652037.000000,4222887.000000
652067.000000,4222887.000000
652097.000000,4222887.000000
652127.000000,4222887.000000
652157.000000,4222887.000000
652187.000000,4222887.000000
652217.000000,4222887.000000
652247.000000,4222887.000000
652277.000000,4222887.000000
652307.000000,4222887.000000
652337.000000,4222887.000000
652367.000000,4222887.000000
652397.000000,4222887.000000
652427.000000,4222887.000000
652457.000000,4222887.000000
652487.000000,4222887.000000
652517.000000,4222887.000000
652547.000000,4222887.000000
652577.000000,4222887.000000
652607.000000,4222887.000000
652637.000000,4222887.000000
652667.000000,4222887.000000
652697.000000,4222887.000000
652727.000000,4222887.000000
652757.000000,4222887.000000
652787.000000,4222887.000000
652817.000000,4222887.000000
652847.000000,4222887.000000
652877.000000,4222887.000000
652907.000000,4222887.000000
652937.000000,4222887.000000
652967.000000,4222857.000000
652997.000000,4222857.000000
652997.000000,4222827.000000
653027.000000,4222827.000000
653027.000000,4222797.000000
653057.000000,4222797.000000
653057.000000,4222767.000000
653087.000000,4222767.000000
653087.000000,4222737.000000
653117.000000,4222737.000000
653117.000000,4222707.000000
653147.000000,4222707.000000
653147.000000,4222677.000000
653177.000000,4222677.000000
653177.000000,4222647.000000
653207.000000,4222647.000000
653207.000000,4222617.000000
653237.000000,4222617.000000
653267.000000,4222587.000000
653297.000000,4222587.000000
653327.000000,4222587.000000
653357.000000,4222587.000000
653387.000000,4222587.000000
653417.000000,4222587.000000
653447.000000,4222587.000000
653477.000000,4222587.000000
653507.000000,4222587.000000
653537.000000,4222587.000000
653567.000000,4222587.000000
653597.000000,4222587.000000
653627.000000,4222587.000000
653657.000000,4222587.000000
653687.000000,4222587.000000
